42,42-coin
300,spartan
404,404
520,520
611,sixeleven
777,jackpot
867,867
888,888tron
888,octocoin
1337,1337
1337,e1337
.alpha,alphatoken
🏔,rhea-dao
$abyss,down-below
$ads,alkimi
$adtx,aurora-token
$afloki,angryfloki
$alpha,alpha-nodes
$anrx,anrkey-x
$astr,astra-protocol-2
$babydogeinu,baby-doge-inu
$based,based-money
$bedoge,bezosdoge
$bitc,bitecoin
$blow,blowup
$bomb,bomberman
$caesar,caesar-finance
$casio,casinoxmetaverse
$cats,cashcats
$cfar,cryptofarming
$chinu,chinu
$cinu,cheems-inu
$clear,clear-water
$cmf,cryptomafia
$crdn,cardence
$cuffies,cuffies
$cwi,crypto-wrestling-inu
$dbet,defibet
$dcap,dcap
$defi,bnbdefi
$di,dragon-infinity
$dragons,dragons-gamefi
$dreamn,dreamn
$efb,ethfan-burn
$elonom,elonomics
$em,emerald-nodes
$fit,fitscrypt
$fjb,freedom-jobs-business
$floge,flokidoge
$forge,blocksmith-labs-forge
$gene,genomesdao
$gnome,gnome
$greed,greed
$hd,hunterdoge
$heyshib,hey-shiba
$hippo,hippo-coin
$honey,honey-fancybearsmetaverse
$horde,horde-token
$hrimp,whalestreet-shrimp-token
$icons,sportsicon
$idol,idol
$islbyz,island-boyz
$joke,joke-community
$kei,keisuke-inu
$king,king-swap
$klaye,space-game-klaye
$kmc,kitsumon
$krause,krause
$ksh,keeshond
$lab,the-laboratory
$lordz,meme-lordz
$luca,lucrosus-capital
$maid,maidcoin
$mainst,buymainstreet
$manga,manga-token
$marble,marble
$mart,artmeta
$mecha,mechachain
$metaz,metalandz
$mlnx,melonx
$mundo,mundo-token
$mundo,muon-network
$mvdoge,metaverse-doge
$ninjadoge,ninja-doge
$nodac,node-aggregator-capital
$oil,warship-battles
$ores,space-game-ores
$pizza,pizza-nft
$plkg,polkago
$rai,hakurai
$react,rebase-aggregator-capital
$rfg,refugees-token
$rokk,rokkit-fuel
$rope,rope
$ryu,hakuryu
$sandwich,sandwich-network
$sbc,superbrain-capital-dao
$scate,sincere-cate
$sensei,sensei-shib
$shari,sharity
$shinji,shinjirai
$snm,safenotmoon
$splusv2,safeplus
$ssb,stream-smart-business
$sshiba,super-shiba
$time,madagascar-token
$tipsy,tipsycoin
$tmon,two-monkey-juice-bar
$topdog,topdog
$tream,world-stream-finance
$tresor,tresor-finance
$upl,universal-pickle
$weapon,megaweapon
$winu,walter-inu
$wnz,winerz
$wood,mindfolk-wood
0ne,civfund-stone
0xbtc,oxbitcoin
0xmr,0xmonero
0xpad,0xpad
1-up,1-up
100x,100x-coin
10set,tenset
18c,block-18
1art,1art
1bch,1bch
1beam,1beam
1bit,onebit
1box,1box
1doge,1doge
